foil_ID, species, incident energy [keV], kF [keV*degrees], sig_kF [keV*degrees], psi_half [degrees], sigma [degrees], sig_sigma [degrees], kappa, sig_kappa
DF_SN1, N, 10.000000, 58.226986, 4.752735, 5.232197, 5.503034, 0.004118, 1.362011, 0.002027
DF_SN1, N, 20.000000, 58.226986, 4.752735, 2.777448, 2.945917, 0.003021, 1.450423, 0.002058
DF_SN1, N, 30.000000, 58.226986, 4.752735, 1.949307, 2.084208, 0.002462, 1.546681, 0.002276
DF_SN1, N, 40.000000, 58.226986, 4.752735, 1.522755, 1.629401, 0.001701, 1.556376, 0.001942
DF_SN1, N, 50.000000, 58.226986, 4.752735, 1.293006, 1.392452, 0.001820, 1.644456, 0.002564
DF_SN3, Ar, 10.000000, 119.220367, 6.347181, 11.138158, 11.273698, 0.010807, 1.084083, 0.003543
DF_SN3, Ar, 20.000000, 119.220367, 6.347181, 5.720457, 5.661423, 0.004783, 0.951579, 0.001336
DF_SN3, Ar, 30.000000, 119.220367, 6.347181, 4.023891, 4.107073, 0.002985, 1.129444, 0.001148
DF_SN3, Ar, 40.000000, 119.220367, 6.347181, 3.098566, 3.218505, 0.002043, 1.249762, 0.001006
DF_SN3, Ar, 50.000000, 119.220367, 6.347181, 2.526501, 2.643338, 0.001979, 1.322141, 0.001221
DF_SN3, H, 1.000000, 12.967714, 0.732843, 13.052241, 13.905318, 0.021617, 1.514586, 0.012575
DF_SN3, H, 2.000000, 12.967714, 0.732843, 5.889327, 6.190313, 0.008265, 1.355829, 0.003958
DF_SN3, H, 3.000000, 12.967714, 0.732843, 4.085656, 4.400663, 0.005614, 1.647164, 0.003913
DF_SN3, H, 4.000000, 12.967714, 0.732843, 3.206760, 3.496512, 0.004406, 1.848257, 0.004054
DF_SN3, H, 5.000000, 12.967714, 0.732843, 2.596970, 2.831193, 0.002431, 1.845326, 0.002573
DF_SN3, H, 10.000000, 12.967714, 0.732843, 1.354648, 1.483546, 0.001251, 1.933711, 0.002401
DF_SN3, H, 15.000000, 12.967714, 0.732843, 0.940451, 1.029974, 0.001509, 1.933637, 0.004290
DF_SN3, H, 20.000000, 12.967714, 0.732843, 0.666646, 0.726856, 0.001768, 1.847235, 0.006373
DF_SN3, He, 10.000000, 24.179373, 1.338879, 2.269252, 2.444922, 0.003981, 1.651428, 0.003904
DF_SN3, He, 20.000000, 24.179373, 1.338879, 1.239575, 1.347437, 0.002831, 1.791600, 0.005362
DF_SN3, He, 30.000000, 24.179373, 1.338879, 0.837584, 0.912332, 0.002804, 1.828863, 0.007975
DF_SN3, N, 10.000000, 62.170738, 3.843899, 5.674364, 5.979535, 0.005979, 1.383247, 0.002866
DF_SN3, N, 20.000000, 62.170738, 3.843899, 3.013569, 3.201468, 0.002452, 1.470485, 0.001664
DF_SN3, N, 30.000000, 62.170738, 3.843899, 2.104431, 2.250169, 0.003972, 1.547045, 0.003502
